=== Run information ===

Scheme:       weka.classifiers.functions.LinearRegression -S 0 -R 1.0E-8 -num-decimal-places 4
Relation:     cpu
Instances:    209
Attributes:   8
              vendor
              MYCT
              MMIN
              MMAX
              CACH
              CHMIN
              CHMAX
              class
Test mode:    evaluate on training data

=== Classifier model (full training set) ===


Linear Regression Model

class =

   -152.7641 * vendor=microdata,prime,formation,harris,dec,wang,perkin-elmer,nixdorf,bti,sratus,dg,burroughs,cambex,magnuson,honeywell,ipl,ibm,cdc,ncr,basf,gould,siemens,nas,adviser,sperry,amdahl +
    141.8644 * vendor=prime,formation,harris,dec,wang,perkin-elmer,nixdorf,bti,sratus,dg,burroughs,cambex,magnuson,honeywell,ipl,ibm,cdc,ncr,basf,gould,siemens,nas,adviser,sperry,amdahl +
    -38.2268 * vendor=burroughs,cambex,magnuson,honeywell,ipl,ibm,cdc,ncr,basf,gould,siemens,nas,adviser,sperry,amdahl +
     39.4748 * vendor=cambex,magnuson,honeywell,ipl,ibm,cdc,ncr,basf,gould,siemens,nas,adviser,sperry,amdahl +
    -39.5986 * vendor=honeywell,ipl,ibm,cdc,ncr,basf,gould,siemens,nas,adviser,sperry,amdahl +
     21.412  * vendor=ipl,ibm,cdc,ncr,basf,gould,siemens,nas,adviser,sperry,amdahl +
    -41.2397 * vendor=gould,siemens,nas,adviser,sperry,amdahl +
     32.0545 * vendor=siemens,nas,adviser,sperry,amdahl +
   -113.6927 * vendor=adviser,sperry,amdahl +
    176.5205 * vendor=sperry,amdahl +
    -51.2583 * vendor=amdahl +
      0.0616 * MYCT +
      0.0171 * MMIN +
      0.0054 * MMAX +
      0.6654 * CACH +
     -1.4159 * CHMIN +
      1.5538 * CHMAX +
    -41.4854

Time taken to build model: 0.01 seconds

=== Predictions on training set ===

    inst#     actual  predicted      error
        1    199        199          0     
        2    253        304.942     51.942 
        3    253        304.942     51.942 
        4    253        304.942     51.942 
        5    132        193.279     61.279 
        6    290        326.05      36.05  
        7    381        451.344     70.344 
        8    381        451.344     70.344 
        9    749        624.947   -124.053 
       10   1238        968.211   -269.789 
       11     23         18.204     -4.796 
       12     24         21.448     -2.552 
       13     70         66.238     -3.762 
       14    117        143.225     26.225 
       15     15        -24.6      -39.6   
       16     64         99.541     35.541 
       17     23        -37.555    -60.555 
       18     29         -6.118    -35.118 
       19     22        -36.078    -58.078 
       20    124        211.393     87.393 
       21     35         20.662    -14.338 
       22     39         28.835    -10.165 
       23     40         82.106     42.106 
       24     45         93.755     48.755 
       25     28         30.181      2.181 
       26     21          3.725    -17.275 
       27     28         23.047     -4.953 
       28     22          4.772    -17.228 
       29     28         23.108     -4.892 
       30     27         20.284     -6.716 
       31    102         76.3      -25.7   
       32    102         76.3      -25.7   
       33     74         75.675      1.675 
       34     74         75.675      1.675 
       35    138        177.758     39.758 
       36    136        178.25      42.25  
       37     23        -36.723    -59.723 
       38     29        -15.769    -44.769 
       39     44         23.033    -20.967 
       40     30         -0.414    -30.414 
       41     41         21.287    -19.713 
       42     74         81.788      7.788 
       43     74         83.342      9.342 
       44     74         83.342      9.342 
       45     54         58.39       4.39  
       46     41         36.69      -4.31  
       47     18         14.468     -3.532 
       48     28         41.837     13.837 
       49     36         28.483     -7.517 
       50     38         28.42      -9.58  
       51     34         40.808      6.808 
       52     19          6.068    -12.932 
       53     72         74.027      2.027 
       54     36         22.119    -13.881 
       55     30          5.525    -24.475 
       56     56         48.926     -7.074 
       57     42         33.996     -8.004 
       58     34         49.436     15.436 
       59     34         49.436     15.436 
       60     34         49.436     15.436 
       61     34         49.436     15.436 
       62     34         49.436     15.436 
