iter	RMSE
0	0.4478755897
1	0.4312867655
2	0.415690046
3	0.4014045939
4	0.3927970974
5	0.3861136274
6	0.3809514076
7	0.3749768375
8	0.3713440829
9	0.3671603227
10	0.3638407442
11	0.3601412305
12	0.3572670833
13	0.3546697651
14	0.3516490669
15	0.3496426865
16	0.3467428897
17	0.3441547822
18	0.3425752504
19	0.3402657986
20	0.3383536254
21	0.3366332053
22	0.3356810426
23	0.3325664204
24	0.3317013611
25	0.3299525734
26	0.3274953942
27	0.3257840658
28	0.3235077091
29	0.3223512897
30	0.3206494135
31	0.3191595547
32	0.3179395378
33	0.3156541885
34	0.3120889231
35	0.3111928183
36	0.3093429862
37	0.3068532697
38	0.3058465645
39	0.3036972969
40	0.3031279575
41	0.3024581761
42	0.301437984
43	0.3000707953
44	0.2981721868
45	0.2974925801
46	0.2960507604
47	0.2948029949
48	0.2931866275
49	0.2916238483
50	0.291387213
51	0.2892456388
52	0.2888190026
53	0.286742611
54	0.2847015032
55	0.284514658
56	0.2824230235
57	0.279891651
58	0.2793491828
59	0.2781787836
60	0.2767900747
61	0.2761122921
62	0.2731188892
63	0.2713486956
64	0.270217439
65	0.2678401499
66	0.2647969887
67	0.2641986258
68	0.262133229
69	0.2603492447
70	0.2592680906
71	0.255608096
72	0.2548105995
73	0.2535034237
74	0.2507610359
75	0.2492973471
76	0.2472181931
77	0.2466699786
78	0.2450840346
79	0.2435773063
80	0.2432026887
81	0.2421688634
82	0.2409368154
83	0.240144494
84	0.2386870785
85	0.2375996402
86	0.2358205252
87	0.2352597895
88	0.2320212143
89	0.2314045752
90	0.231065306
91	0.2304908728
92	0.2282184146
93	0.2275799877
94	0.2257556057
95	0.2239789906
96	0.2237578734
97	0.2225899818
98	0.2220812954
99	0.22175197
