iter	Passed	Remaining
0	1	152
1	2	136
2	4	130
3	5	125
4	6	119
5	7	120
6	9	124
7	10	123
8	12	125
9	13	123
10	15	123
11	17	126
12	18	124
13	20	122
14	21	122
15	22	120
16	24	118
17	25	114
18	26	114
19	28	112
20	29	109
21	30	108
22	31	105
23	32	103
24	33	100
25	34	99
26	36	97
27	37	95
28	38	94
29	39	92
30	40	90
31	41	88
32	43	87
33	44	86
34	45	84
35	46	83
36	47	81
37	48	79
38	50	78
39	51	76
40	52	75
41	53	74
42	54	72
43	56	71
44	57	69
45	58	68
46	59	66
47	60	65
48	61	63
49	62	62
50	63	61
51	64	59
52	66	58
53	67	57
54	68	55
55	69	54
56	70	53
57	72	52
58	73	51
59	74	49
60	75	48
61	76	47
62	78	45
63	79	44
64	81	43
65	82	42
66	83	41
67	84	39
68	85	38
69	86	37
70	87	35
71	89	34
72	90	33
73	92	32
74	93	31
75	94	29
76	95	28
77	96	27
78	97	25
79	99	24
80	100	23
81	101	22
82	103	21
83	104	19
84	105	18
85	106	17
86	108	16
87	109	14
88	110	13
89	111	12
90	112	11
91	113	9
92	115	8
93	117	7
94	118	6
95	119	4
96	120	3
97	121	2
98	122	1
99	124	0
